Causa de muerte (lista reducida);Sexo;Provincia de defunción;Total
001-102 I-XXII.Todas las causas;Total;Total;231014
001-102 I-XXII.Todas las causas;Total;Albacete;2814
001-102 I-XXII.Todas las causas;Total;Alicante/Alacant;7610
001-102 I-XXII.Todas las causas;Total;Almería;2385
001-102 I-XXII.Todas las causas;Total;Araba/Alava;1507
001-102 I-XXII.Todas las causas;Total;Asturias;6217
001-102 I-XXII.Todas las causas;Total;Avila;1206
001-102 I-XXII.Todas las causas;Total;Badajoz;3203
001-102 I-XXII.Todas las causas;Total;Balears;3620
001-102 I-XXII.Todas las causas;Total;Barcelona;30961
001-102 I-XXII.Todas las causas;Total;Bizkaia;6116
001-102 I-XXII.Todas las causas;Total;Burgos;2141
001-102 I-XXII.Todas las causas;Total;Cáceres;2665
001-102 I-XXII.Todas las causas;Total;Cádiz;4692
001-102 I-XXII.Todas las causas;Total;Cantabria;2918
001-102 I-XXII.Todas las causas;Total;Castellón;2524
001-102 I-XXII.Todas las causas;Total;Ciudad Real;4111
001-102 I-XXII.Todas las causas;Total;Córdoba;3492
001-102 I-XXII.Todas las causas;Total;Coruña, A;5920
001-102 I-XXII.Todas las causas;Total;Cuenca;1433
001-102 I-XXII.Todas las causas;Total;Gipuzkoa;3307
001-102 I-XXII.Todas las causas;Total;Girona;3225
001-102 I-XXII.Todas las causas;Total;Granada;3995
001-102 I-XXII.Todas las causas;Total;Guadalajara;1525
001-102 I-XXII.Todas las causas;Total;Huelva;1909
001-102 I-XXII.Todas las causas;Total;Huesca;1146
001-102 I-XXII.Todas las causas;Total;Jaén;2937
001-102 I-XXII.Todas las causas;Total;León;3545
001-102 I-XXII.Todas las causas;Total;Lleida;2074
001-102 I-XXII.Todas las causas;Total;Lugo;2258
001-102 I-XXII.Todas las causas;Total;Madrid;37309
001-102 I-XXII.Todas las causas;Total;Málaga;6212
001-102 I-XXII.Todas las causas;Total;Murcia;5222
001-102 I-XXII.Todas las causas;Total;Navarra;3209
001-102 I-XXII.Todas las causas;Total;Ourense;2148
001-102 I-XXII.Todas las causas;Total;Palencia;1071
001-102 I-XXII.Todas las causas;Total;Palmas, Las;3660
001-102 I-XXII.Todas las causas;Total;Pontevedra;4031
001-102 I-XXII.Todas las causas;Total;Rioja, La;1722
001-102 I-XXII.Todas las causas;Total;Salamanca;2733
001-102 I-XXII.Todas las causas;Total;Santa Cruz de Tenerife;3692
001-102 I-XXII.Todas las causas;Total;Segovia;1456
001-102 I-XXII.Todas las causas;Total;Sevilla;7406
001-102 I-XXII.Todas las causas;Total;Soria;827
001-102 I-XXII.Todas las causas;Total;Tarragona;3405
001-102 I-XXII.Todas las causas;Total;Teruel;835
001-102 I-XXII.Todas las causas;Total;Toledo;3921
001-102 I-XXII.Todas las causas;Total;Valencia/València;11021
001-102 I-XXII.Todas las causas;Total;Valladolid;2943
001-102 I-XXII.Todas las causas;Total;Zamora;1208
001-102 I-XXII.Todas las causas;Total;Zaragoza;5019
001-102 I-XXII.Todas las causas;Total;Ceuta;278
001-102 I-XXII.Todas las causas;Total;Melilla;230
001-102 I-XXII.Todas las causas;Hombres;Total;115541
001-102 I-XXII.Todas las causas;Hombres;Albacete;1433
001-102 I-XXII.Todas las causas;Hombres;Alicante/Alacant;4057
001-102 I-XXII.Todas las causas;Hombres;Almería;1274
001-102 I-XXII.Todas las causas;Hombres;Araba/Alava;770
001-102 I-XXII.Todas las causas;Hombres;Asturias;2975
001-102 I-XXII.Todas las causas;Hombres;Avila;624
001-102 I-XXII.Todas las causas;Hombres;Badajoz;1623
001-102 I-XXII.Todas las causas;Hombres;Balears, Illes;1876
001-102 I-XXII.Todas las causas;Hombres;Barcelona;15087
001-102 I-XXII.Todas las causas;Hombres;Bizkaia;2956
001-102 I-XXII.Todas las causas;Hombres;Burgos;1073
001-102 I-XXII.Todas las causas;Hombres;Cáceres;1313
001-102 I-XXII.Todas las causas;Hombres;Cádiz;2399
001-102 I-XXII.Todas las causas;Hombres;Cantabria;1393
001-102 I-XXII.Todas las causas;Hombres;Castellón/Castelló;1263
001-102 I-XXII.Todas las causas;Hombres;Ciudad Real;2068
001-102 I-XXII.Todas las causas;Hombres;Córdoba;1697
001-102 I-XXII.Todas las causas;Hombres;Coruña, A;2883
001-102 I-XXII.Todas las causas;Hombres;Cuenca;736
001-102 I-XXII.Todas las causas;Hombres;Gipuzkoa;1600
001-102 I-XXII.Todas las causas;Hombres;Girona;1638
001-102 I-XXII.Todas las causas;Hombres;Granada;2006
001-102 I-XXII.Todas las causas;Hombres;Guadalajara;796
001-102 I-XXII.Todas las causas;Hombres;Huelva;950
001-102 I-XXII.Todas las causas;Hombres;Huesca;593
001-102 I-XXII.Todas las causas;Hombres;Jaén;1473
001-102 I-XXII.Todas las causas;Hombres;León;1749
001-102 I-XXII.Todas las causas;Hombres;Lleida;1096
001-102 I-XXII.Todas las causas;Hombres;Lugo;1104
001-102 I-XXII.Todas las causas;Hombres;Madrid;18372
001-102 I-XXII.Todas las causas;Hombres;Málaga;3240
001-102 I-XXII.Todas las causas;Hombres;Murcia;2721
001-102 I-XXII.Todas las causas;Hombres;Navarra;1598
001-102 I-XXII.Todas las causas;Hombres;Ourense;1039
001-102 I-XXII.Todas las causas;Hombres;Palencia;508
001-102 I-XXII.Todas las causas;Hombres;Palmas, Las;1995
001-102 I-XXII.Todas las causas;Hombres;Pontevedra;1922
001-102 I-XXII.Todas las causas;Hombres;Rioja, La;897
001-102 I-XXII.Todas las causas;Hombres;Salamanca;1376
001-102 I-XXII.Todas las causas;Hombres;Santa Cruz de Tenerife;1920
001-102 I-XXII.Todas las causas;Hombres;Segovia;736
001-102 I-XXII.Todas las causas;Hombres;Sevilla;3696
001-102 I-XXII.Todas las causas;Hombres;Soria;432
001-102 I-XXII.Todas las causas;Hombres;Tarragona;1816
001-102 I-XXII.Todas las causas;Hombres;Teruel;408
001-102 I-XXII.Todas las causas;Hombres;Toledo;1990
001-102 I-XXII.Todas las causas;Hombres;Valencia/València;5638
001-102 I-XXII.Todas las causas;Hombres;Valladolid;1466
001-102 I-XXII.Todas las causas;Hombres;Zamora;601
001-102 I-XXII.Todas las causas;Hombres;Zaragoza;2409
001-102 I-XXII.Todas las causas;Hombres;Ceuta;143
001-102 I-XXII.Todas las causas;Hombres;Melilla;113
001-102 I-XXII.Todas las causas;Mujeres;Total;115473
001-102 I-XXII.Todas las causas;Mujeres;Albacete;1381
001-102 I-XXII.Todas las causas;Mujeres;Alicante/Alacant;3553
001-102 I-XXII.Todas las causas;Mujeres;Almería;1111
001-102 I-XXII.Todas las causas;Mujeres;Araba/Alava;737
001-102 I-XXII.Todas las causas;Mujeres;Asturias;3242
001-102 I-XXII.Todas las causas;Mujeres;Avila;582
001-102 I-XXII.Todas las causas;Mujeres;Badajoz;1580
001-102 I-XXII.Todas las causas;Mujeres;Balears, Illes;1744
001-102 I-XXII.Todas las causas;Mujeres;Barcelona;15874
001-102 I-XXII.Todas las causas;Mujeres;Bizkaia;3160
001-102 I-XXII.Todas las causas;Mujeres;Burgos;1068
001-102 I-XXII.Todas las causas;Mujeres;Cáceres;1352
001-102 I-XXII.Todas las causas;Mujeres;Cádiz;2293
001-102 I-XXII.Todas las causas;Mujeres;Cantabria;1525
001-102 I-XXII.Todas las causas;Mujeres;Castellón/Castelló;1261
001-102 I-XXII.Todas las causas;Mujeres;Ciudad Real;2043
001-102 I-XXII.Todas las causas;Mujeres;Córdoba;1795
001-102 I-XXII.Todas las causas;Mujeres;Coruña, A;3037
001-102 I-XXII.Todas las causas;Mujeres;Cuenca;697
001-102 I-XXII.Todas las causas;Mujeres;Gipuzkoa;1707
001-102 I-XXII.Todas las causas;Mujeres;Girona;1587
001-102 I-XXII.Todas las causas;Mujeres;Granada;1989
001-102 I-XXII.Todas las causas;Mujeres;Guadalajara;729
001-102 I-XXII.Todas las causas;Mujeres;Huelva;959
001-102 I-XXII.Todas las causas;Mujeres;Huesca;553
001-102 I-XXII.Todas las causas;Mujeres;Jaén;1464
001-102 I-XXII.Todas las causas;Mujeres;León;1796
001-102 I-XXII.Todas las causas;Mujeres;Lleida;978
001-102 I-XXII.Todas las causas;Mujeres;Lugo;1154
001-102 I-XXII.Todas las causas;Mujeres;Madrid;18937
001-102 I-XXII.Todas las causas;Mujeres;Málaga;2972
001-102 I-XXII.Todas las causas;Mujeres;Murcia;2501
001-102 I-XXII.Todas las causas;Mujeres;Navarra;1611
001-102 I-XXII.Todas las causas;Mujeres;Ourense;1109
001-102 I-XXII.Todas las causas;Mujeres;Palencia;563
001-102 I-XXII.Todas las causas;Mujeres;Palmas, Las;1665
001-102 I-XXII.Todas las causas;Mujeres;Pontevedra;2109
001-102 I-XXII.Todas las causas;Mujeres;Rioja, La;825
001-102 I-XXII.Todas las causas;Mujeres;Salamanca;1357
001-102 I-XXII.Todas las causas;Mujeres;Santa Cruz de Tenerife;1772
001-102 I-XXII.Todas las causas;Mujeres;Segovia;720
001-102 I-XXII.Todas las causas;Mujeres;Sevilla;3710
001-102 I-XXII.Todas las causas;Mujeres;Soria;395
001-102 I-XXII.Todas las causas;Mujeres;Tarragona;1589
001-102 I-XXII.Todas las causas;Mujeres;Teruel;427
001-102 I-XXII.Todas las causas;Mujeres;Toledo;1931
001-102 I-XXII.Todas las causas;Mujeres;Valencia/València;5383
001-102 I-XXII.Todas las causas;Mujeres;Valladolid;1477
001-102 I-XXII.Todas las causas;Mujeres;Zamora;607
001-102 I-XXII.Todas las causas;Mujeres;Zaragoza;2610
001-102 I-XXII.Todas las causas;Mujeres;Ceuta;135
001-102 I-XXII.Todas las causas;Mujeres;Melilla;117
001-008 I.Enfermedades infecciosas y parasitarias;Total;Total;48393
001-008 I.Enfermedades infecciosas y parasitarias;Total;Albacete;1099
001-008 I.Enfermedades infecciosas y parasitarias;Total;Alicante/Alacant;758
001-008 I.Enfermedades infecciosas y parasitarias;Total;Almería;108
001-008 I.Enfermedades infecciosas y parasitarias;Total;Araba/Alava;385
001-008 I.Enfermedades infecciosas y parasitarias;Total;Asturias;606
001-008 I.Enfermedades infecciosas y parasitarias;Total;Avila;395
001-008 I.Enfermedades infecciosas y parasitarias;Total;Badajoz;187
001-008 I.Enfermedades infecciosas y parasitarias;Total;Balears, Illes;307
001-008 I.Enfermedades infecciosas y parasitarias;Total;Barcelona;9769
001-008 I.Enfermedades infecciosas y parasitarias;Total;Bizkaia;1013
001-008 I.Enfermedades infecciosas y parasitarias;Total;Burgos;479
001-008 I.Enfermedades infecciosas y parasitarias;Total;Cáceres;639
001-008 I.Enfermedades infecciosas y parasitarias;Total;Cádiz;272
001-008 I.Enfermedades infecciosas y parasitarias;Total;Cantabria;330
001-008 I.Enfermedades infecciosas y parasitarias;Total;Castellón/Castelló;273
001-008 I.Enfermedades infecciosas y parasitarias;Total;Ciudad Real;1771
001-008 I.Enfermedades infecciosas y parasitarias;Total;Córdoba;224
001-008 I.Enfermedades infecciosas y parasitarias;Total;Coruña, A;413
001-008 I.Enfermedades infecciosas y parasitarias;Total;Cuenca;451
001-008 I.Enfermedades infecciosas y parasitarias;Total;Gipuzkoa;399
001-008 I.Enfermedades infecciosas y parasitarias;Total;Girona;603
001-008 I.Enfermedades infecciosas y parasitarias;Total;Granada;472
001-008 I.Enfermedades infecciosas y parasitarias;Total;Guadalajara;545
001-008 I.Enfermedades infecciosas y parasitarias;Total;Huelva;90
001-008 I.Enfermedades infecciosas y parasitarias;Total;Huesca;161
001-008 I.Enfermedades infecciosas y parasitarias;Total;Jaén;308
001-008 I.Enfermedades infecciosas y parasitarias;Total;León;873
001-008 I.Enfermedades infecciosas y parasitarias;Total;Lleida;347
001-008 I.Enfermedades infecciosas y parasitarias;Total;Lugo;66
001-008 I.Enfermedades infecciosas y parasitarias;Total;Madrid;15057
001-008 I.Enfermedades infecciosas y parasitarias;Total;Málaga;535
001-008 I.Enfermedades infecciosas y parasitarias;Total;Murcia;237
001-008 I.Enfermedades infecciosas y parasitarias;Total;Navarra;757
001-008 I.Enfermedades infecciosas y parasitarias;Total;Ourense;173
001-008 I.Enfermedades infecciosas y parasitarias;Total;Palencia;206
001-008 I.Enfermedades infecciosas y parasitarias;Total;Palmas, Las;125
001-008 I.Enfermedades infecciosas y parasitarias;Total;Pontevedra;217
001-008 I.Enfermedades infecciosas y parasitarias;Total;Rioja, La;429
001-008 I.Enfermedades infecciosas y parasitarias;Total;Salamanca;911
001-008 I.Enfermedades infecciosas y parasitarias;Total;Santa Cruz de Tenerife;236
001-008 I.Enfermedades infecciosas y parasitarias;Total;Segovia;672
001-008 I.Enfermedades infecciosas y parasitarias;Total;Sevilla;416
001-008 I.Enfermedades infecciosas y parasitarias;Total;Soria;309
001-008 I.Enfermedades infecciosas y parasitarias;Total;Tarragona;466
001-008 I.Enfermedades infecciosas y parasitarias;Total;Teruel;141
001-008 I.Enfermedades infecciosas y parasitarias;Total;Toledo;1149
001-008 I.Enfermedades infecciosas y parasitarias;Total;Valencia/València;1020
001-008 I.Enfermedades infecciosas y parasitarias;Total;Valladolid;797
001-008 I.Enfermedades infecciosas y parasitarias;Total;Zamora;237
001-008 I.Enfermedades infecciosas y parasitarias;Total;Zaragoza;929
001-008 I.Enfermedades infecciosas y parasitarias;Total;Ceuta;22
001-008 I.Enfermedades infecciosas y parasitarias;Total;Melilla;9
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Total;24712
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Albacete;566
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Alicante/Alacant;428
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Almería;61
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Araba/Alava;200
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Asturias;279
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Avila;204
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Badajoz;100
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Balears, Illes;188
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Barcelona;4742
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Bizkaia;502
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Burgos;227
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cáceres;308
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cádiz;130
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cantabria;162
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Castellón/Castelló;134
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ciudad Real;899
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Córdoba;108
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Coruña, A;244
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cuenca;254
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Gipuzkoa;194
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Girona;303
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Granada;243
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Guadalajara;304
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Huelva;47
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Huesca;75
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Jaén;166
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;León;459
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Lleida;172
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Lugo;39
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Madrid;7853
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Málaga;299
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Murcia;118
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Navarra;375
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ourense;84
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Palencia;101
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Palmas, Las;74
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Pontevedra;99
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Rioja, La;217
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Salamanca;463
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Santa Cruz de Tenerife;130
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Segovia;345
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Sevilla;197
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Soria;150
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Tarragona;254
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Teruel;76
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Toledo;615
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Valencia/València;558
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Valladolid;384
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Zamora;122
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Zaragoza;446
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ceuta;10
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Melilla;4
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Total;23681
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Albacete;533
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Alicante/Alacant;330
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Almería;47
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Araba/Alava;185
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Asturias;327
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Avila;191
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Badajoz;87
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Balears, Illes;119
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Barcelona;5027
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Bizkaia;511
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Burgos;252
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cáceres;331
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cádiz;142
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cantabria;168
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Castellón/Castelló;139
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ciudad Real;872
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Córdoba;116
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Coruña, A;169
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cuenca;197
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Gipuzkoa;205
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Girona;300
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Granada;229
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Guadalajara;241
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Huelva;43
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Huesca;86
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Jaén;142
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;León;414
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Lleida;175
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Lugo;27
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Madrid;7204
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Málaga;236
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Murcia;119
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Navarra;382
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ourense;89
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Palencia;105
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Palmas, Las;51
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Pontevedra;118
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Rioja, La;212
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Salamanca;448
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Santa Cruz de Tenerife;106
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Segovia;327
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Sevilla;219
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Soria;159
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Tarragona;212
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Teruel;65
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Toledo;534
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Valencia/València;462
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Valladolid;413
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Zamora;115
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Zaragoza;483
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ceuta;12
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Melilla;5
00A Covid-19 Virus identificado;Total;Total;32652
00A Covid-19 Virus identificado;Total;Albacete;671
00A Covid-19 Virus identificado;Total;Alicante/Alacant;399
00A Covid-19 Virus identificado;Total;Almería;49
00A Covid-19 Virus identificado;Total;Araba/Alava;327
00A Covid-19 Virus identificado;Total;Asturias;341
00A Covid-19 Virus identificado;Total;Avila;229
00A Covid-19 Virus identificado;Total;Badajoz;88
00A Covid-19 Virus identificado;Total;Balears, Illes;217
00A Covid-19 Virus identificado;Total;Barcelona;6996
00A Covid-19 Virus identificado;Total;Bizkaia;788
00A Covid-19 Virus identificado;Total;Burgos;303
00A Covid-19 Virus identificado;Total;Cáceres;424
00A Covid-19 Virus identificado;Total;Cádiz;143
00A Covid-19 Virus identificado;Total;Cantabria;215
00A Covid-19 Virus identificado;Total;Castellón/Castelló;170
00A Covid-19 Virus identificado;Total;Ciudad Real;1303
00A Covid-19 Virus identificado;Total;Córdoba;118
00A Covid-19 Virus identificado;Total;Coruña, A;324
00A Covid-19 Virus identificado;Total;Cuenca;232
00A Covid-19 Virus identificado;Total;Gipuzkoa;314
00A Covid-19 Virus identificado;Total;Girona;425
00A Covid-19 Virus identificado;Total;Granada;311
00A Covid-19 Virus identificado;Total;Guadalajara;337
00A Covid-19 Virus identificado;Total;Huelva;44
00A Covid-19 Virus identificado;Total;Huesca;111
00A Covid-19 Virus identificado;Total;Jaén;174
00A Covid-19 Virus identificado;Total;León;509
00A Covid-19 Virus identificado;Total;Lleida;277
00A Covid-19 Virus identificado;Total;Lugo;31
00A Covid-19 Virus identificado;Total;Madrid;10210
00A Covid-19 Virus identificado;Total;Málaga;291
00A Covid-19 Virus identificado;Total;Murcia;140
00A Covid-19 Virus identificado;Total;Navarra;567
00A Covid-19 Virus identificado;Total;Ourense;132
00A Covid-19 Virus identificado;Total;Palencia;106
00A Covid-19 Virus identificado;Total;Palmas, Las;46
00A Covid-19 Virus identificado;Total;Pontevedra;156
00A Covid-19 Virus identificado;Total;Rioja, La;345
00A Covid-19 Virus identificado;Total;Salamanca;569
00A Covid-19 Virus identificado;Total;Santa Cruz de Tenerife;117
00A Covid-19 Virus identificado;Total;Segovia;361
00A Covid-19 Virus identificado;Total;Sevilla;270
00A Covid-19 Virus identificado;Total;Soria;220
00A Covid-19 Virus identificado;Total;Tarragona;305
00A Covid-19 Virus identificado;Total;Teruel;101
00A Covid-19 Virus identificado;Total;Toledo;745
00A Covid-19 Virus identificado;Total;Valencia/València;686
00A Covid-19 Virus identificado;Total;Valladolid;559
00A Covid-19 Virus identificado;Total;Zamora;139
00A Covid-19 Virus identificado;Total;Zaragoza;710
00A Covid-19 Virus identificado;Total;Ceuta;5
00A Covid-19 Virus identificado;Total;Melilla;2
00A Covid-19 Virus identificado;Hombres;Total;17688
00A Covid-19 Virus identificado;Hombres;Albacete;357
00A Covid-19 Virus identificado;Hombres;Alicante/Alacant;245
00A Covid-19 Virus identificado;Hombres;Almería;33
00A Covid-19 Virus identificado;Hombres;Araba/Alava;166
00A Covid-19 Virus identificado;Hombres;Asturias;155
00A Covid-19 Virus identificado;Hombres;Avila;123
00A Covid-19 Virus identificado;Hombres;Badajoz;52
00A Covid-19 Virus identificado;Hombres;Balears, Illes;130
00A Covid-19 Virus identificado;Hombres;Barcelona;3579
00A Covid-19 Virus identificado;Hombres;Bizkaia;399
00A Covid-19 Virus identificado;Hombres;Burgos;158
00A Covid-19 Virus identificado;Hombres;Cáceres;213
00A Covid-19 Virus identificado;Hombres;Cádiz;70
00A Covid-19 Virus identificado;Hombres;Cantabria;103
00A Covid-19 Virus identificado;Hombres;Castellón/Castelló;84
00A Covid-19 Virus identificado;Hombres;Ciudad Real;707
00A Covid-19 Virus identificado;Hombres;Córdoba;55
00A Covid-19 Virus identificado;Hombres;Coruña, A;200
00A Covid-19 Virus identificado;Hombres;Cuenca;133
00A Covid-19 Virus identificado;Hombres;Gipuzkoa;151
00A Covid-19 Virus identificado;Hombres;Girona;204
00A Covid-19 Virus identificado;Hombres;Granada;161
00A Covid-19 Virus identificado;Hombres;Guadalajara;207
00A Covid-19 Virus identificado;Hombres;Huelva;26
00A Covid-19 Virus identificado;Hombres;Huesca;52
00A Covid-19 Virus identificado;Hombres;Jaén;99
00A Covid-19 Virus identificado;Hombres;León;295
00A Covid-19 Virus identificado;Hombres;Lleida;140
00A Covid-19 Virus identificado;Hombres;Lugo;21
00A Covid-19 Virus identificado;Hombres;Madrid;5845
00A Covid-19 Virus identificado;Hombres;Málaga;170
00A Covid-19 Virus identificado;Hombres;Murcia;64
00A Covid-19 Virus identificado;Hombres;Navarra;306
00A Covid-19 Virus identificado;Hombres;Ourense;64
00A Covid-19 Virus identificado;Hombres;Palencia;59
00A Covid-19 Virus identificado;Hombres;Palmas, Las;27
00A Covid-19 Virus identificado;Hombres;Pontevedra;69
00A Covid-19 Virus identificado;Hombres;Rioja, La;174
00A Covid-19 Virus identificado;Hombres;Salamanca;299
00A Covid-19 Virus identificado;Hombres;Santa Cruz de Tenerife;64
00A Covid-19 Virus identificado;Hombres;Segovia;220
00A Covid-19 Virus identificado;Hombres;Sevilla;133
00A Covid-19 Virus identificado;Hombres;Soria;110
00A Covid-19 Virus identificado;Hombres;Tarragona;173
00A Covid-19 Virus identificado;Hombres;Teruel;59
00A Covid-19 Virus identificado;Hombres;Toledo;426
00A Covid-19 Virus identificado;Hombres;Valencia/València;387
00A Covid-19 Virus identificado;Hombres;Valladolid;286
00A Covid-19 Virus identificado;Hombres;Zamora;71
00A Covid-19 Virus identificado;Hombres;Zaragoza;361
00A Covid-19 Virus identificado;Hombres;Ceuta;2
00A Covid-19 Virus identificado;Hombres;Melilla;1
00A Covid-19 Virus identificado;Mujeres;Total;14964
00A Covid-19 Virus identificado;Mujeres;Albacete;314
00A Covid-19 Virus identificado;Mujeres;Alicante/Alacant;154
00A Covid-19 Virus identificado;Mujeres;Almería;16
00A Covid-19 Virus identificado;Mujeres;Araba/Alava;161
00A Covid-19 Virus identificado;Mujeres;Asturias;186
00A Covid-19 Virus identificado;Mujeres;Avila;106
00A Covid-19 Virus identificado;Mujeres;Badajoz;36
00A Covid-19 Virus identificado;Mujeres;Balears, Illes;87
00A Covid-19 Virus identificado;Mujeres;Barcelona;3417
00A Covid-19 Virus identificado;Mujeres;Bizkaia;389
00A Covid-19 Virus identificado;Mujeres;Burgos;145
00A Covid-19 Virus identificado;Mujeres;Cáceres;211
00A Covid-19 Virus identificado;Mujeres;Cádiz;73
00A Covid-19 Virus identificado;Mujeres;Cantabria;112
